,run_time: 
1,260.4301562309265
2,277.1513912677765
3,270.00644159317017
4,274.044251203537
5,275.0440921783447
6,274.96504521369934
7,275.25506711006165
8,273.3840672969818
9,276.1834764480591
10,275.4201407432556
