"","maximum_MinuslogP_up","sum_MinuslogP_up","times_significant_up"
"100",0.917439617866006,43.3033179082399,0.00734394124847001
"150",0.983670458546422,39.547732298054,0.00122399020807834
"200",2.97905879492297,37.0895413447932,0.00611995104039168
"250",2.54397776959974,38.0666485540986,0.00489596083231334
"300",2.19284608706056,36.3355902464681,0.00489596083231334
"350",1.71773892834378,28.9403234186832,0.00734394124847001
"400",1.42181610030629,25.0086999310596,0.00734394124847001
"450",1.33733140866757,27.6428252368069,0.00489596083231334
"500",1.08978391971848,22.5665000344396,0.00489596083231334
"550",0.840209827775506,19.1680579019683,0.00367197062423501
"600",1.11914910244728,22.3181683204406,0.00489596083231334
"650",0.80239734401622,28.0652981212279,0.00122399020807834
"700",0.712682180003124,22.3071428976527,0.00611995104039168
"750",0.587133515788774,27.0174548879954,0
"800",0.410074216291104,20.1140548559029,0
"850",0.39935520156583,18.6759303309163,0
"900",0.392691487882702,17.0454572246101,0
"950",0.752083235759738,25.5522355010229,0.0208078335373317
"1000",0.591272504269671,17.8950852522398,0
"1050",0.538887656551266,13.9887115253118,0
"1100",0.684302142238255,15.6770464137628,0
"1150",0.61321808156041,17.0358574957611,0
"1200",0.712519291660785,16.742619012028,0.00367197062423501
"1250",0.732454540753218,16.5516542555767,0.00489596083231334
"1300",0.646027409528915,13.8810847055578,0
"1350",0.52539749925214,11.2327356372099,0
"1400",0.422995157488437,9.17723600595747,0
"1450",0.558043502586181,11.3285785059713,0
"1500",0.686927995596252,12.9894151069798,0
