Run Number i=,pool proc 2: ,pool proc 8: 
1,14.820283651351929,7.780556917190552
2,15.155966758728027,8.244306325912476
3,14.455979347229004,7.752075672149658
4,14.39337968826294,8.054558992385864
5,15.071681261062622,7.900690793991089
6,15.116087436676024,8.155783414840698
7,14.340899229049684,8.213127613067627
8,14.26498246192932,8.19844675064087
9,14.767908573150637,7.814336061477661
10,14.994159698486328,8.092087745666504
