,maximum_MinuslogP_any,sum_MinuslogP_any,times_significant_any
100,3.3894919595456954,238.49896532810038,0.1591187270501836
150,3.0671551600799174,198.97725912114228,0.16279069767441862
200,2.045718330990682,184.6474823930526,0.13219094247246022
250,2.100023834257154,204.1207957121843,0.09302325581395349
300,2.2018385649194996,176.99440354727605,0.10159118727050184
350,2.334245806685377,155.34775966633686,0.06976744186046512
400,3.26163017898275,185.68821558947803,0.09057527539779682
450,2.657481164793467,159.45912655536785,0.05507955936352509
500,2.1310436945983353,226.23016039439122,0.15177478580171358
550,3.031144313155222,275.61159365587747,0.22031823745410037
600,3.231428929868019,253.20157633449935,0.18849449204406366
650,3.439064132507384,250.0935659504668,0.1591187270501836
700,3.653269301234367,255.19371167325573,0.189718482252142
750,3.873481736653128,230.37970609709112,0.1481028151774786
800,4.8020958893538985,242.89840446644152,0.1835985312117503
850,4.330410183324787,229.5439810213935,0.16034271725826194
900,3.8929959893448554,206.485365473346,0.05263157894736842
950,4.134260614584975,190.7232516770952,0.04528763769889841
1000,3.7306070165670895,179.4339602800523,0.05018359853121175
1050,3.9788893487502555,169.25367359384174,0.04773561811505508
1100,3.602527055176999,187.5065412400701,0.06976744186046512
1150,3.248550002438939,176.94149797029226,0.06119951040391677
1200,3.5019252893592525,163.57258321866306,0.051407588739290085
1250,3.758890655402169,151.61775508761545,0.037943696450428395
1300,4.019565040517189,167.34258880160922,0.03549571603427173
1350,4.907278720247038,162.8813630404691,0.028151774785801713
1400,5.830129393810466,177.74024859861385,0.03916768665850673
1450,6.111914934985636,204.6592617013921,0.044063647490820076
1500,5.746620283733392,196.95701344844414,0.0416156670746634
