,maximum_MinuslogP_up,sum_MinuslogP_up,times_significant_up
100,-0.0,0.0,0.0
150,0.017534932707172296,0.017534932707172296,0.0
200,2.2634516908872224,3.326416528080306,0.0024479804161566705
250,2.0483011393621577,5.376953508572808,0.0036719706242350062
300,1.717098441329874,5.098997504777733,0.004895960832313341
350,1.3997535566542698,5.614343439204332,0.0024479804161566705
400,1.1274871137970612,4.072345396654245,0.0024479804161566705
450,1.0657254908449767,5.12137070024553,0.004895960832313341
500,0.8550115473527862,4.057010480729136,0.004895960832313341
550,0.6662518636109789,4.979766833253853,0.0
600,1.0078203038612978,9.497537950862608,0.0012239902080783353
650,0.816471695346362,12.637324142286374,0.0012239902080783353
700,0.7224503410523735,12.854333336553122,0.006119951040391677
750,0.6100742677258104,19.10742614638609,0.0
800,0.5270033371919298,17.766731679031892,0.0
850,0.4154149024372291,14.992141802964603,0.0
900,0.39300215755164053,15.007869518854942,0.0
950,0.7067543167878418,19.758954764395074,0.01835985312117503
1000,0.5418995246735858,13.563161689349734,0.0
1050,0.4791750342508268,10.601520069447686,0.0
1100,0.6149511437126676,11.65275139593309,0.0
1150,0.52072878572648,12.870231605723312,0.0
1200,0.6108566695436696,11.323336166322058,0.0
1250,0.6270320282248993,10.579529191647866,0.0
1300,0.53652290205872,7.981042404245899,0.0
1350,0.44991842921219705,5.8958831329627595,0.0
1400,0.36693715094261864,5.817154544340176,0.0
1450,0.48106236561172455,7.066603825515609,0.0
1500,0.6581631276899017,11.012858269191867,0.0
